initial,medial,nucleus,coda,tone,syllable
"","","a","","1","a_1"
"","","a","","2","a_2"
"","","a","","3","a_3"
"","","a","","4","a_4"
"","","a","","5","a_5"
"","","a","","6","a_6"
"","","a","c","1","ac_1"
"","","a","c","2","ac_2"
"","","a","c","3","ac_3"
"","","a","c","4","ac_4"
"","","a","c","5","ac_5"
"","","a","c","6","ac_6"
"","","a","ch","1","ach_1"
"","","a","ch","2","ach_2"
"","","a","ch","3","ach_3"
"","","a","ch","4","ach_4"
"","","a","ch","5","ach_5"
"","","a","ch","6","ach_6"
"","","a","i","1","ai_1"
"","","a","i","2","ai_2"
"","","a","i","3","ai_3"
"","","a","i","4","ai_4"
"","","a","i","5","ai_5"
"","","a","i","6","ai_6"
"","","a","m","1","am_1"
"","","a","m","2","am_2"
"","","a","m","3","am_3"
"","","a","m","4","am_4"
"","","a","m","5","am_5"
"","","a","m","6","am_6"
"","","a","n","1","an_1"
"","","a","n","2","an_2"
"","","a","n","3","an_3"
"","","a","n","4","an_4"
"","","a","n","5","an_5"
"","","a","n","6","an_6"
"","","a","ng","1","ang_1"
"","","a","ng","2","ang_2"
"","","a","ng","3","ang_3"
"","","a","ng","4","ang_4"
"","","a","ng","5","ang_5"
"","","a","ng","6","ang_6"
"","","a","nh","1","anh_1"
"","","a","nh","2","anh_2"
"","","a","nh","3","anh_3"
"","","a","nh","4","anh_4"
"","","a","nh","5","anh_5"
"","","a","nh","6","anh_6"
"","","a","o","1","ao_1"
"","","a","o","2","ao_2"
"","","a","o","3","ao_3"
"","","a","o","4","ao_4"
"","","a","o","5","ao_5"
"","","a","o","6","ao_6"
"","","a","p","1","ap_1"
"","","a","p","2","ap_2"
"","","a","p","3","ap_3"
"","","a","p","4","ap_4"
"","","a","p","5","ap_5"
"","","a","p","6","ap_6"
"","","a","t","1","at_1"
"","","a","t","2","at_2"
"","","a","t","3","at_3"
"","","a","t","4","at_4"
"","","a","t","5","at_5"
"","","a","t","6","at_6"
"","","a","u","1","au_1"
"","","a","u","2","au_2"
"","","a","u","3","au_3"
"","","a","u","4","au_4"
"","","a","u","5","au_5"
"","","a","u","6","au_6"
"","","a","y","1","ay_1"
"","","a","y","2","ay_2"
"","","a","y","3","ay_3"
"","","a","y","4","ay_4"
"","","a","y","5","ay_5"
"","","a","y","6","ay_6"
"","","e","","1","e_1"
"","","e","","2","e_2"
"","","e","","3","e_3"
"","","e","","4","e_4"
"","","e","","5","e_5"
"","","e","","6","e_6"
"","","e","c","1","ec_1"
"","","e","c","2","ec_2"
"","","e","c","3","ec_3"
"","","e","c","4","ec_4"
"","","e","c","5","ec_5"
"","","e","c","6","ec_6"
"","","e","ch","1","ech_1"
"","","e","ch","2","ech_2"
"","","e","ch","3","ech_3"
"","","e","ch","4","ech_4"
"","","e","ch","5","ech_5"
"","","e","ch","6","ech_6"
"","","e","i","1","ei_1"
"","","e","i","2","ei_2"
"","","e","i","3","ei_3"
"","","e","i","4","ei_4"
"","","e","i","5","ei_5"
"","","e","i","6","ei_6"
"","","e","m","1","em_1"
"","","e","m","2","em_2"
"","","e","m","3","em_3"
"","","e","m","4","em_4"
"","","e","m","5","em_5"
"","","e","m","6","em_6"
"","","e","n","1","en_1"
"","","e","n","2","en_2"
"","","e","n","3","en_3"
"","","e","n","4","en_4"
"","","e","n","5","en_5"
"","","e","n","6","en_6"
"","","e","ng","1","eng_1"
"","","e","ng","2","eng_2"
"","","e","ng","3","eng_3"
"","","e","ng","4","eng_4"
"","","e","ng","5","eng_5"
"","","e","ng","6","eng_6"
"","","e","nh","1","enh_1"
"","","e","nh","2","enh_2"
"","","e","nh","3","enh_3"
"","","e","nh","4","enh_4"
"","","e","nh","5","enh_5"
"","","e","nh","6","enh_6"
"","","e","o","1","eo_1"
"","","e","o","2","eo_2"
"","","e","o","3","eo_3"
"","","e","o","4","eo_4"
"","","e","o","5","eo_5"
"","","e","o","6","eo_6"
"","","e","p","1","ep_1"
"","","e","p","2","ep_2"
"","","e","p","3","ep_3"
"","","e","p","4","ep_4"
"","","e","p","5","ep_5"
"","","e","p","6","ep_6"
"","","e","t","1","et_1"
"","","e","t","2","et_2"
"","","e","t","3","et_3"
"","","e","t","4","et_4"
"","","e","t","5","et_5"
"","","e","t","6","et_6"
"","","e","u","1","eu_1"
"","","e","u","2","eu_2"
"","","e","u","3","eu_3"
"","","e","u","4","eu_4"
"","","e","u","5","eu_5"
"","","e","u","6","eu_6"
"","","e","y","1","ey_1"
"","","e","y","2","ey_2"
"","","e","y","3","ey_3"
"","","e","y","4","ey_4"
"","","e","y","5","ey_5"
"","","e","y","6","ey_6"
"","","i","","1","i_1"
"","","i","","2","i_2"
"","","i","","3","i_3"
"","","i","","4","i_4"
"","","i","","5","i_5"
"","","i","","6","i_6"
"","","i","c","1","ic_1"
"","","i","c","2","ic_2"
"","","i","c","3","ic_3"
"","","i","c","4","ic_4"
"","","i","c","5","ic_5"
"","","i","c","6","ic_6"
"","","i","ch","1","ich_1"
"","","i","ch","2","ich_2"
"","","i","ch","3","ich_3"
"","","i","ch","4","ich_4"
"","","i","ch","5","ich_5"
"","","i","ch","6","ich_6"
"","","i","i","1","ii_1"
"","","i","i","2","ii_2"
"","","i","i","3","ii_3"
"","","i","i","4","ii_4"
"","","i","i","5","ii_5"
"","","i","i","6","ii_6"
"","","i","m","1","im_1"
"","","i","m","2","im_2"
"","","i","m","3","im_3"
"","","i","m","4","im_4"
"","","i","m","5","im_5"
"","","i","m","6","im_6"
"","","i","n","1","in_1"
"","","i","n","2","in_2"
"","","i","n","3","in_3"
"","","i","n","4","in_4"
"","","i","n","5","in_5"
"","","i","n","6","in_6"
"","","i","ng","1","ing_1"
"","","i","ng","2","ing_2"
"","","i","ng","3","ing_3"
"","","i","ng","4","ing_4"
"","","i","ng","5","ing_5"
"","","i","ng","6","ing_6"
"","","i","nh","1","inh_1"
"","","i","nh","2","inh_2"
"","","i","nh","3","inh_3"
"","","i","nh","4","inh_4"
"","","i","nh","5","inh_5"
"","","i","nh","6","inh_6"
"","","i","o","1","io_1"
"","","i","o","2","io_2"
"","","i","o","3","io_3"
"","","i","o","4","io_4"
"","","i","o","5","io_5"
"","","i","o","6","io_6"
"","","i","p","1","ip_1"
"","","i","p","2","ip_2"
"","","i","p","3","ip_3"
"","","i","p","4","ip_4"
"","","i","p","5","ip_5"
"","","i","p","6","ip_6"
"","","i","t","1","it_1"
"","","i","t","2","it_2"
"","","i","t","3","it_3"
"","","i","t","4","it_4"
"","","i","t","5","it_5"
"","","i","t","6","it_6"
"","","i","u","1","iu_1"
"","","i","u","2","iu_2"
"","","i","u","3","iu_3"
"","","i","u","4","iu_4"
"","","i","u","5","iu_5"
"","","i","u","6","iu_6"
"","","i","y","1","iy_1"
"","","i","y","2","iy_2"
"","","i","y","3","iy_3"
"","","i","y","4","iy_4"
"","","i","y","5","iy_5"
"","","i","y","6","iy_6"
"","","ia","","1","ia_1"
"","","ia","","2","ia_2"
"","","ia","","3","ia_3"
"","","ia","","4","ia_4"
"","","ia","","5","ia_5"
"","","ia","","6","ia_6"
"","","ia","c","1","iac_1"
"","","ia","c","2","iac_2"
"","","ia","c","3","iac_3"
"","","ia","c","4","iac_4"
"","","ia","c","5","iac_5"
"","","ia","c","6","iac_6"
"","","ia","ch","1","iach_1"
"","","ia","ch","2","iach_2"
"","","ia","ch","3","iach_3"
"","","ia","ch","4","iach_4"
"","","ia","ch","5","iach_5"
"","","ia","ch","6","iach_6"
"","","ia","i","1","iai_1"
"","","ia","i","2","iai_2"
"","","ia","i","3","iai_3"
"","","ia","i","4","iai_4"
"","","ia","i","5","iai_5"
"","","ia","i","6","iai_6"
"","","ia","m","1","iam_1"
"","","ia","m","2","iam_2"
"","","ia","m","3","iam_3"
"","","ia","m","4","iam_4"
"","","ia","m","5","iam_5"
"","","ia","m","6","iam_6"
"","","ia","n","1","ian_1"
"","","ia","n","2","ian_2"
"","","ia","n","3","ian_3"
"","","ia","n","4","ian_4"
"","","ia","n","5","ian_5"
"","","ia","n","6","ian_6"
"","","ia","ng","1","iang_1"
"","","ia","ng","2","iang_2"
"","","ia","ng","3","iang_3"
"","","ia","ng","4","iang_4"
"","","ia","ng","5","iang_5"
"","","ia","ng","6","iang_6"
"","","ia","nh","1","ianh_1"
"","","ia","nh","2","ianh_2"
"","","ia","nh","3","ianh_3"
"","","ia","nh","4","ianh_4"
"","","ia","nh","5","ianh_5"
"","","ia","nh","6","ianh_6"
"","","ia","o","1","iao_1"
"","","ia","o","2","iao_2"
"","","ia","o","3","iao_3"
"","","ia","o","4","iao_4"
"","","ia","o","5","iao_5"
"","","ia","o","6","iao_6"
"","","ia","p","1","iap_1"
"","","ia","p","2","iap_2"
"","","ia","p","3","iap_3"
"","","ia","p","4","iap_4"
"","","ia","p","5","iap_5"
"","","ia","p","6","iap_6"
"","","ia","t","1","iat_1"
"","","ia","t","2","iat_2"
"","","ia","t","3","iat_3"
"","","ia","t","4","iat_4"
"","","ia","t","5","iat_5"
"","","ia","t","6","iat_6"
"","","ia","u","1","iau_1"
"","","ia","u","2","iau_2"
"","","ia","u","3","iau_3"
"","","ia","u","4","iau_4"
"","","ia","u","5","iau_5"
"","","ia","u","6","iau_6"
"","","ia","y","1","iay_1"
"","","ia","y","2","iay_2"
"","","ia","y","3","iay_3"
"","","ia","y","4","iay_4"
"","","ia","y","5","iay_5"
"","","ia","y","6","iay_6"
"","","iê","","1","iê_1"
"","","iê","","2","iê_2"
"","","iê","","3","iê_3"
"","","iê","","4","iê_4"
"","","iê","","5","iê_5"
"","","iê","","6","iê_6"
"","","iê","c","1","iêc_1"
"","","iê","c","2","iêc_2"
"","","iê","c","3","iêc_3"
"","","iê","c","4","iêc_4"
