phoneme,count
koŋ1,308
hɔ̆k6,290
li5,277
cu4,263
ʂiŋ1,218
ŋie3,215
ɲɤ̆n1,201
doŋ2,199
za1,191
daj6,188
hɛ̆ŋ2,181
dɤ̆w2,175
ki2,174
ka5,170
vo1,170
doŋ6,168
hwa5,168
kwɤ̆n1,167
nɯɤk5,166
ăn1,165
hiŋ2,155
zɤ̆n1,148
ʂo5,146
kɔn1,146
tɯ6,146
tɯ2,143
dɯɤŋ2,139
die6,139
tiŋ2,137
χi5,136
tɯ4,135
ciŋ5,134
ɲa2,134
ka1,133
nɔj5,132
tɤ̆m1,131
kɤ1,131
zăw1,129
kwan1,129
ba1,129
zɛ̆ŋ1,129
tiŋ5,127
văn1,127
do6,126
măt6,125
ʈɛ̆ŋ1,124
kăw1,124
vɤ̆t6,123
dɛ̆ŋ5,123
t'ɤ̆n2,121
fɤ̆n1,121
cien5,118
kɤ̆w2,118
t'ɛ̆ŋ1,117
hwa1,117
t'ɤ̆n1,117
dien6,117
biŋ1,116
ɤ̆m1,115
χoŋ1,115
ban4,115
cɤ̆n1,114
tiŋ1,114
t'ien1,113
tăj1,112
bo6,112
t'e4,111
kiŋ1,111
t'e5,111
bɤ̆t5,108
ce5,108
t'ɯk6,108
za5,107
hoj6,106
ŋwien1,105
vi6,105
lam2,105
diŋ6,105
ʈuŋ1,105
ko4,103
ki5,103
ʂɯ6,102
kwok5,101
zăw5,101
măj5,101
ʐa1,100
tien2,100
biŋ2,99
t'ɛ̆ŋ2,99
tɯ1,99
a1,97
t'wi4,96
hɤ̆w6,95
lɯk6,94
vien1,94
t'ɯɤŋ1,94
t'u4,93
ʂi3,93
dăw6,92
t'oŋ1,92
bɛ̆ŋ5,92
hɯw3,91
ʂan4,91
hɤp6,89
toŋ4,89
ʈɯɤŋ2,89
li1,88
i5,86
da1,86
vi1,86
hɯɤŋ1,85
băw5,84
taj2,84
lwɤ̆n6,84
kwien2,83
kɛ̆ŋ4,82
t'i6,82
lɔ̆ŋ2,82
tɤ̆p6,82
măt5,82
kɛ̆k5,82
kim1,81
ban5,81
kam4,80
t'ɯ1,80
zaj4,80
sa1,80
ci4,79
ma1,79
ka2,79
ŋwaj6,79
fɔ̆ŋ1,79
za4,78
vɛ̆ŋ2,78
fu6,78
swɤ̆t5,78
ha6,78
tiew1,77
tik5,77
fap5,76
tiew4,76
ŋiep6,75
t'u1,75
do2,75
diew2,75
ʈɯɤŋ4,75
mi3,75
hiew6,74
mot6,73
dɤ̆t5,73
o1,72
fɤ̆m4,72
kɤ̆p5,72
hwɛ̆ŋ2,72
lɯw1,72
ɣa2,72
t'ɤ̆t5,72
kwi1,71
ăw5,71
fuk6,71
ʈɤj2,71
hwa2,71
dok6,70
mɛ̆ŋ6,70
sɛ1,70
fat5,70
ci5,70
ŋɯ3,69
di1,69
doj5,69
t'ɯɤŋ6,69
t'wiet5,69
bien5,68
da5,68
hoj2,68
noj6,68
zɤ̆j1,68
noŋ1,67
ʂăk5,67
tiet5,67
cɤ̆t5,67
t'ɯk5,67
ʈi6,67
ci1,67
an1,66
taj1,66
bɔ̆ŋ5,66
1,65
zɔ5,65
ban2,65
dɛn1,65
cɯŋ5,65
băt5,65
zik6,65
ti4,65
băw4,64
ke5,64
ŋɯɤj2,64
ket5,64
dwan2,64
t'ɤj2,64
lɤ̆p6,64
in1,63
ti1,63
t'ɛ̆ŋ5,63
zɯɤŋ1,63
kuŋ1,63
bak6,63
haj4,63
kwɛ̆ŋ1,63
za6,63
za2,62
ɲɯ1,62
ko1,62
la1,62
tɯɤŋ5,62
zɤj5,62
dɔ4,62
diem4,62
zɤ̆w2,62
zan1,61
te5,61
dɤn1,61
fɔ̆ŋ2,61
